data_venda;cliente;descricao;qtd;valor_venda
2022-11-18;Hoppe LLC;Folhagem;7;8141,18
2023-10-13;Cormier Group;Folhagem;3;8479,05
2021-08-10;Turner-Crist;Caribe;6;9407,3
2023-02-28;Schroeder LLC;Caribe;3;3897,48
2023-03-28;Jones, Kuhic and Osinski;Caribe;3;2616,36
2022-12-15;Murazik and Sons;Caribe;3;9079,46
2023-08-04;Roob and Sons;Tropical;3;5290,99
2023-08-06;Waters, Okuneva and Braun;Tropical;3;4226,97
2021-11-07;Schmitt, Daugherty and Russel;Canadense;3;2396,68
2023-08-09;Lynch-Kiehn;Canadense;5;9158,07
2021-11-26;Batz Inc;Canadense;4;7447,57
2023-08-12;Padberg-Lowe;Canadense;3;8773,57
2023-03-22;Trantow Inc;Cigano;3;7713,22
2023-07-24;Glover Group;Cigano;5;9561,24
2021-11-20;Heaney-Rempel;Cigano;5;8708,58
2023-04-22;Kuhn LLC;Cigano;3;3242,27
2023-05-26;Bergstrom Group;Porto Rico;3;8550,14
2023-08-06;Gorczany-Fadel;Porto Rico;6;10389,63
2023-03-25;Deckow, Abshire and Bode;Oriente;5;10281,04
2021-08-09;Hodkiewicz, Kerluke and Nicolas;Oriente;3;6430,5
2023-04-18;Hudson, Crooks and Bernier;Oriente;3;2325,17
2021-05-12;Konopelski-Mitchell;Beach Flash;3;3417,11
2022-12-20;Cartwright-Daugherty;Beach Flash;3;10357,03
2023-03-29;Senger-Kiehn;Beach Flash;5;5918,86
2023-06-09;Rogahn LLC;Beach Flash;3;10149,41
2023-06-22;Heaney-Rempel;Incomparaveis;9;7386,5
2023-10-10;Brown-Wisozk;Incomparaveis;6;4242,81
2023-04-25;Cummings Group;Incomparaveis;9;3380,54
2023-09-14;Romaguera, Gutmann and Swaniawski;Incomparaveis;9;8225,29
2021-03-29;Ziemann and Sons;Casual Day;4;3028
2023-08-05;Doyle Inc;Casual Day;3;6512,26
2023-07-25;Rau-Glover;Casual Day;6;7362,15
2021-12-13;Stark LLC;Psyco Universe;5;6373
2023-07-31;Weissnat, Bernhard and Carroll;Psyco Universe;3;9873,07
2022-01-04;Parisian LLC;Psyco Classic;3;7885,76
2023-08-05;Doyle Inc;Psyco Classic;4;6512,26
2023-10-16;Collier-Haag;Psyco Classic;3;11136,45
2023-05-16;Bayer, Altenwerth and Reynolds;Psyco Crew;3;4933,52
2022-01-10;Mayert, Blick and Homenick;Psyco Crew;3;6113,36
2022-11-20;Mills and Sons;Cammelina;3;8770,1
2023-06-17;Senger-Kiehn;Cammelina;5;5145,38
2023-10-02;Parisian LLC;Cammelina;3;6813,53
2023-08-13;Stokes, Auer and Orn;Klamath;3;6145,88
2023-07-22;Funk and Sons;Klamath;3;7384,05
2023-10-02;Parisian LLC;Klamath;2;6813,53
2021-09-23;Jones and Sons;Klamath;3;11664,19
2021-02-18;Gusikowski, Weissnat and Schuppe;Klamath Weed;6;4318,21
2022-06-03;Grady, Koch and Monahan;Klamath Weed;5;8882,29
2023-05-08;Pfeffer, Stiedemann and Bauch;Klamath Weed;3;3690,11
2023-09-21;Terry, Schmeler and Konopelski;Klamath White;3;7973,19
2023-03-15;Dicki Group;Havaiana;3;3400,28
2023-02-11;Keebler-McCullough;Havaiana;3;6095,91
2023-08-15;DuBuque-Cormier;Havaiana;2;4391,43
2021-07-11;Sauer Inc;Lilium;4;8534,54
2023-10-21;Hermiston-Kub;Lilium;2;8294,26
2023-10-11;Russel-Thiel;Blazer Slim Fit;2;9809,24
2022-08-07;Connelly, Denesik and Veum;Blazer Slim Fit;3;8305,53
2022-05-26;Legros LLC;Blazer Slim Fit;3;7830,47
2022-09-13;Moore-Hammes;Paeonia;6;4989,51
2022-11-09;Okuneva-Hilpert;Roseta;3;4565,71
2022-08-18;Hills Inc;Roseta;4;13008,88
2023-09-30;Muller, Beahan and Hermiston;Roseta;4;3897,6
2023-06-11;Bailey Inc;Blazer Poderoso Chefão;3;8695,09
2021-11-30;Ziemann, Greenholt and O'Hara;Blazer Poderoso Chefão;3;7644,04
2023-08-16;Romaguera Group;Intense;3;6599,86
2021-11-09;Ferry Inc;Intense;3;5697,36
2023-02-25;MacGyver Group;Intense;5;3281,81
2022-09-26;Volkman, Jaskolski and Lehner;Intense;4;11019,7
2022-09-26;Volkman, Jaskolski and Lehner;Folhagem;4;11019,7
2023-03-17;Klein, Nikolaus and Lebsack;Folhagem;3;7939,26
2022-07-29;Moore, Cassin and Bartell;Folhagem;8;9626,63
2023-08-03;Klocko-Marquardt;Folhagem;3;9055,26
2022-02-28;Smitham LLC;Caribe;3;4265,99
2021-08-14;Roob-Spencer;Caribe;3;2698,91
2022-12-09;Friesen Inc;Tropical;3;8244,5
2023-07-31;Weissnat, Bernhard and Carroll;Tropical;3;9873,07
2023-03-25;Deckow, Abshire and Bode;Canadense;5;10281,04
2023-10-11;Russel-Thiel;Canadense;3;9809,24
2023-07-26;Herzog, Rodriguez and Waters;Canadense;3;5517,69
2022-12-15;Murazik and Sons;Cigano;3;9079,46
2022-11-13;Ullrich LLC;Cigano;5;9558,51
2022-09-21;Boehm-Gaylord;Cigano;4;13029,75
2023-02-01;Mertz-Hickle;Cigano;3;3692,03
2022-08-30;Tremblay, Boyle and Torphy;Porto Rico;3;8833,4
2022-04-11;Runte-Koss;Porto Rico;6;8056,95
2023-07-21;Sawayn-Bahringer;Porto Rico;3;8684,56
2023-10-14;Maggio, Hahn and Dietrich;Porto Rico;2;11252,42
2021-11-30;Kuhlman and Sons;Oriente;5;10073,83
2023-10-16;Collier-Haag;Oriente;2;11136,45
2023-09-06;Nicolas Inc;Oriente;3;3585,88
2022-09-17;Lueilwitz, Lehner and Feest;Oriente;3;9785,68
2023-10-09;Berge LLC;Beach Flash;2;1229,55
2022-07-06;Rempel LLC;Beach Flash;3;8156,98
2021-12-18;Goodwin-Turcotte;Beach Flash;5;4844,06
2022-05-28;Hand and Sons;Beach Flash;3;8391,82
2023-03-21;Parisian, Nolan and Crist;Incomparaveis;9;9116,22
2023-10-09;Aufderhar-O'Connell;Incomparaveis;6;3420,11
2023-07-12;Steuber-Gusikowski;Incomparaveis;9;4256,39
2021-10-23;Wisoky, Terry and Gutkowski;Casual Day;3;7174,05
2022-10-19;Abshire-Kunze;Casual Day;3;7316,29
2021-11-24;Smitham LLC;Casual Day;6;7262,64
2022-08-02;Anderson Inc;Psyco Universe;3;4474,4
2021-07-24;Schiller, Torphy and Heidenreich;Psyco Universe;5;11253,49
2023-07-04;Leffler Inc;Psyco Universe;3;4550,67
2022-11-30;Kuhic, Heidenreich and Hoppe;Psyco Universe;3;6508,51
2023-08-16;Dach LLC;Psyco Classic;2;5486,7
2021-11-08;Lakin and Sons;Marine Slim;3;7893,99
2022-11-07;Lueilwitz, Lehner and Feest;Marine Slim;3;7058,06
2022-12-20;Osinski and Sons;Psyco Crew;3;9638,08
2021-09-27;Muller-Walter;Psyco Crew;5;8639,1
2022-01-09;Roberts-Gorczany;Psyco Crew;3;7338,64
2022-08-05;Watsica-Altenwerth;Cammelina;3;8948,32
2021-12-13;Stark LLC;Cammelina;5;6373
2023-03-18;Okuneva-Lynch;Klamath;3;4078,31
2023-07-05;Boehm-Gaylord;Klamath;3;1760,1
2023-07-31;Weissnat, Bernhard and Carroll;Klamath;2;9873,07
2023-10-14;Koss-Rowe;Klamath;2;9837,34
2023-10-12;Stiedemann Group;Klamath Weed;4;11558,64
2021-12-14;Johns Inc;Klamath Weed;5;4082,51
2021-11-22;Erdman, Frami and Schiller;Klamath Weed;3;3755,9
2022-05-26;Block-O'Keefe;Klamath White;3;7885,86
2022-08-09;Haley Group;Klamath White;3;9979,87
2023-05-15;Bailey Inc;Havaiana;5;5647,84
2022-02-12;Emmerich, Gaylord and Harber;Havaiana;3;5957,39
2023-08-04;Kshlerin, Wehner and Hauck;Havaiana;2;5795,22
2023-10-14;Koss-Rowe;Lilium;3;9837,34
2021-09-12;Dooley, Olson and Jacobs;Lilium;3;11214,48
2023-10-04;Bayer, Altenwerth and Reynolds;Blazer Slim Fit;2;6608,23
2021-10-28;Murray-Hahn;Blazer Slim Fit;3;9109,47
2021-08-10;Turner-Crist;Blazer Slim Fit;5;9407,3
2021-08-24;Predovic-Olson;Blazer Slim Fit;3;4503,26
2022-07-26;Parker LLC;Paeonia;3;11701,51
2023-08-13;Ratke, Bosco and Bogisich;Paeonia;4;6691,73
2022-10-28;Vandervort-Macejkovic;Roseta;3;8447,53
2022-03-16;Grimes, Gerlach and Labadie;Roseta;4;4664,21
2023-08-12;Padberg-Lowe;Roseta;4;8773,57
2022-04-25;Auer and Sons;Blazer Poderoso Chefão;3;10269,5
2021-03-10;Walsh-Kuhn;Blazer Poderoso Chefão;3;6755,43
2023-03-26;Barrows, Fisher and Emmerich;Blazer Poderoso Chefão;3;10410,08
2023-07-19;Botsford Inc;Intense;3;8011,04
2023-10-14;Maggio, Hahn and Dietrich;Intense;2;11252,42
2022-08-18;Hills Inc;Intense;5;13008,88
2022-09-01;Kiehn-Friesen;Intense;4;9265,44
2022-09-09;Predovic-Olson;Folhagem;4;8698,35
2023-03-10;Goyette-Gaylord;Folhagem;3;6322,11
2022-06-21;Stiedemann, Johnston and Hermann;Folhagem;7;5764,32
2023-06-03;Gorczany-Fadel;Folhagem;3;2206,14
2023-10-04;Bayer, Altenwerth and Reynolds;Caribe;2;6608,23
2021-07-28;Schiller, Torphy and Heidenreich;Caribe;3;2832,73
2021-12-05;Gorczany-Fadel;Caribe;3;4073,84
2022-05-07;Huel-Ratke;Tropical;3;7036,38
2023-09-07;Bernhard-Spinka;Canadense;2;2862,99
2023-03-22;Hintz LLC;Canadense;5;9348,78
2023-08-18;Doyle Inc;Canadense;3;4740,83
2023-05-12;Franecki, Bernhard and Roob;Canadense;3;6167,11
2021-11-22;Volkman, Schmitt and Strosin;Cigano;3;5309,2
2021-12-22;Batz, Dietrich and Homenick;Cigano;5;7433,91
2021-12-07;Collier and Sons;Porto Rico;6;10647,36
2022-12-23;Jacobs-Friesen;Porto Rico;3;7969,51
2021-07-25;Hermann, Murazik and Miller;Oriente;5;9955,88
2023-09-25;Roob-Spencer;Oriente;2;3904,74
2022-06-20;Schmidt-Mayert;Oriente;3;4920,56
2023-10-03;Hermann, Murazik and Miller;Beach Flash;2;5944,3
2021-10-24;Roberts-Medhurst;Beach Flash;3;5637,87
2021-12-14;Baumbach LLC;Beach Flash;3;7230,97
2023-01-08;Davis-Stark;Incomparaveis;15;8197,69
2023-10-09;Berge LLC;Incomparaveis;6;1229,55
2023-05-22;Rippin and Sons;Incomparaveis;9;5281,37
2021-07-11;Sauer Inc;Casual Day;3;8534,54
2021-12-05;Mayer Group;Casual Day;3;6490,18
2021-12-09;Greenfelder LLC;Psyco Universe;3;6905,55
2021-09-19;Ruecker LLC;Psyco Universe;3;5098,42
2023-08-11;Zboncak-Roberts;Psyco Classic;2;7596,8
2023-04-20;Jacobson, Cummings and Wilderman;Psyco Classic;4;3740,27
2021-05-14;Thompson LLC;Psyco Classic;3;3030,03
2021-10-12;Bailey Inc;Marine Slim;3;7097,5
2021-11-28;Abshire, Adams and Wiza;Marine Slim;3;6951,16
2021-07-17;Rippin, Wehner and Armstrong;Psyco Crew;5;7299,36
2021-06-01;Halvorson LLC;Psyco Crew;3;4227,69
2021-11-23;Robel, Gusikowski and Kirlin;Cammelina;3;7495,44
2021-10-17;Kuhn Group;Cammelina;5;5144,06
2023-07-03;Block, Sanford and Sipes;Cammelina;3;1845,1
2023-04-09;Weimann Group;Klamath;3;9401,39
2023-07-25;Rau-Glover;Klamath;2;7362,15
2023-08-03;Klocko-Marquardt;Klamath Weed;4;9055,26
2021-10-24;Wiegand-Kirlin;Klamath Weed;6;4877,46
2021-09-19;Ruecker LLC;Klamath Weed;3;5098,42
2022-12-01;Barrows Inc;Klamath White;3;8037,82
2022-08-05;Watsica-Altenwerth;Klamath White;3;8948,32
2021-11-23;Robel, Gusikowski and Kirlin;Havaiana;5;7495,44
2022-11-04;Schiller, Torphy and Heidenreich;Havaiana;3;11645,01
2021-08-07;Heathcote-Hahn;Havaiana;3;5838,44
2023-07-22;Funk and Sons;Havaiana;2;7384,05
2021-09-13;McLaughlin-Jacobs;Lilium;3;9654,37
2023-10-14;Koss-Rowe;Lilium;2;9837,34
2021-07-21;Osinski, Larkin and Murray;Lilium;5;9317,22
2023-10-14;Maggio, Hahn and Dietrich;Blazer Slim Fit;2;11252,42
2021-05-05;Stehr-Collins;Blazer Slim Fit;5;4954,1
2023-09-25;Doyle, Mante and Ritchie;Blazer Slim Fit;2;6050,36
2021-12-11;Parisian LLC;Paeonia;3;8411,84
2023-09-20;Hirthe and Sons;Paeonia;2;5978,4
2023-03-26;Barrows, Fisher and Emmerich;Paeonia;4;10410,08
2022-08-18;Hills Inc;Paeonia;3;13008,88
2022-09-26;Volkman, Jaskolski and Lehner;Roseta;3;11019,7
2022-03-09;Gislason, Larson and Mohr;Roseta;4;8087,44
2023-08-01;Cassin Group;Roseta;4;7406,57
2021-12-13;Hilpert-Erdman;Blazer Poderoso Chefão;3;6629,95
2023-10-21;Hermiston-Kub;Blazer Poderoso Chefão;2;8294,26
2023-02-22;Ernser Group;Blazer Poderoso Chefão;3;8442,1
2021-11-23;Friesen Inc;Blazer Poderoso Chefão;3;9234,79
2023-09-24;Jast-Lebsack;Intense;2;1609,77
2022-02-25;Stokes and Sons;Intense;5;3289,43
2022-08-18;Hills Inc;Intense;4;13008,88
2022-09-29;Kautzer LLC;Folhagem;3;7806,08
2022-12-15;Murazik and Sons;Folhagem;3;9079,46
2021-12-03;Koss-Rowe;Folhagem;3;8608,77
2023-08-06;Gorczany-Fadel;Caribe;4;10389,63
2023-09-28;Hoppe LLC;Caribe;2;7046,43
2021-02-20;Mills, Bosco and Rath;Caribe;3;3347,23
2022-04-20;Conn LLC;Tropical;3;8957,48
2022-09-01;Kiehn-Friesen;Tropical;3;9265,44
2023-09-07;Bashirian, Anderson and Langworth;Canadense;2;4658,16
2022-12-20;Osinski and Sons;Canadense;5;9638,08
2023-03-28;Rosenbaum LLC;Canadense;3;1565,16
2023-04-16;Heaney-Rempel;Canadense;3;9759,27
2021-07-21;Doyle Inc;Cigano;3;7789,61
2021-11-23;Friesen Inc;Cigano;5;9234,79
2023-08-06;Gorczany-Fadel;Cigano;3;10389,63
2021-11-21;Grimes, Gerlach and Labadie;Porto Rico;3;6074,12
2022-08-08;Walker-Pfannerstill;Porto Rico;3;5384,4
2023-09-04;Weimann Group;Porto Rico;2;5349,08
2021-10-29;Moore, Jacobs and Heaney;Oriente;6;8970,35
2023-09-03;Kovacek, Weissnat and Goodwin;Oriente;2;3375,06
2023-02-06;Grady, Koch and Monahan;Oriente;3;3714,49
2021-05-18;Kuvalis LLC;Oriente;3;3683,28
2023-08-06;Gorczany-Fadel;Beach Flash;2;10389,63
2021-08-05;Glover LLC;Beach Flash;3;10781,97
2021-10-09;Aufderhar-Murazik;Beach Flash;3;10271,29
2022-05-21;Price, Kautzer and Heller;Incomparaveis;9;10885,05
2023-09-30;Muller, Beahan and Hermiston;Incomparaveis;6;3897,6
2021-08-26;Sawayn Group;Incomparaveis;9;10277,21
2023-03-30;Herzog, Rodriguez and Waters;Incomparaveis;9;8759,47
2021-03-01;Rogahn LLC;Casual Day;3;4602,58
2023-10-20;DuBuque-Cormier;Casual Day;2;7613,28
2023-08-03;Klocko-Marquardt;Casual Day;4;9055,26
2022-12-02;Runte-Carter;Psyco Universe;6;8526,75
2022-09-03;Windler, Dietrich and Becker;Psyco Universe;3;8376,51
2021-08-12;Walsh-Kuhn;Psyco Universe;3;2250,01
2023-10-12;Stiedemann Group;Psyco Classic;2;11558,64
2021-07-30;Abshire, Adams and Wiza;Marine Slim;3;8762,5
2022-08-08;Walker-Pfannerstill;Psyco Crew;3;5384,4
2023-10-21;Flatley-Considine;Psyco Crew;4;4688,93
2023-10-16;Collier-Haag;Psyco Crew;2;11136,45
2021-07-17;Rippin, Wehner and Armstrong;Cammelina;3;7299,36
2021-08-29;Heidenreich Inc;Cammelina;5;8642,03
2022-03-19;Grimes, Gerlach and Labadie;Klamath;3;6883,13
2023-07-23;Kub-Dibbert;Klamath;2;4114,57
2023-07-25;Rau-Glover;Klamath Weed;4;7362,15
2023-08-18;Medhurst-Spinka;Klamath Weed;4;3977,6
2021-06-08;Ryan, Ratke and Davis;Klamath Weed;3;3664,35
2021-12-02;Koch, Jast and Rosenbaum;Klamath White;3;8918,34
2023-10-20;Kulas, Gleichner and VonRueden;Klamath White;2;9083,68
2021-12-05;Mayer Group;Klamath White;3;6490,18
2022-08-30;Tremblay, Boyle and Torphy;Havaiana;3;8833,4
2023-07-12;Kertzmann-Kertzmann;Havaiana;2;6377,65
2023-10-21;Flatley-Considine;Lilium;2;4688,93
2023-10-21;Flatley-Considine;Lilium;4;4688,93
2023-09-07;Bashirian, Anderson and Langworth;Lilium;2;4658,16
2023-08-09;Roob and Sons;Blazer Slim Fit;2;5093,82
2023-08-09;Roob and Sons;Blazer Slim Fit;4;5093,82
2023-09-13;Bins, Fritsch and Osinski;Blazer Slim Fit;2;3769,95
2021-10-22;Bechtelar-Hane;Paeonia;3;6439,1
2023-07-22;Funk and Sons;Paeonia;2;7384,05
2022-10-14;Hegmann Inc;Paeonia;4;9691,94
2022-06-16;Baumbach LLC;Paeonia;3;7368,74
2022-08-16;Jenkins, Anderson and Yost;Roseta;3;1745,07
2023-03-12;Fay Inc;Roseta;3;6236,67
2023-10-20;DuBuque-Cormier;Blazer Poderoso Chefão;2;7613,28
2022-12-27;Kris-Corkery;Blazer Poderoso Chefão;3;11028,34
2021-08-03;Rempel LLC;Blazer Poderoso Chefão;3;11157,42
2021-11-18;Kovacek-Turner;Intense;3;8488,81
2023-09-20;Hirthe and Sons;Intense;2;5978,4
2021-11-21;Grimes, Gerlach and Labadie;Intense;5;6074,12
2022-07-19;Greenfelder LLC;Intense;4;1524,16
2022-09-03;Windler, Dietrich and Becker;Folhagem;3;8376,51
2022-11-08;Friesen Inc;Folhagem;3;7373,31
2023-07-24;Glover Group;Caribe;4;9561,24
2023-08-11;Zboncak-Roberts;Caribe;2;7596,8
2023-10-22;Schulist and Sons;Caribe;2;5946,9
2021-12-07;Ratke Group;Tropical;3;9196,87
2023-06-22;Kuhlman and Sons;Canadense;2;1875,39
2023-01-05;Jast-Lebsack;Canadense;3;9903,37
2022-12-11;Roob-Spencer;Canadense;3;10868,73
2023-08-14;Lynch-Kiehn;Cigano;2;7079,79
2021-09-06;Erdman, Frami and Schiller;Cigano;5;4759,74
2022-07-27;Stehr-Collins;Cigano;3;7180,13
2021-05-23;McLaughlin-Jacobs;Cigano;3;3156,89
2021-09-24;Dickens Inc;Porto Rico;3;8858,94
2022-05-15;DuBuque-Cormier;Porto Rico;3;7953,79
2023-08-06;Waters, Okuneva and Braun;Porto Rico;2;4226,97
2023-09-20;Brown Group;Oriente;4;9326,68
2023-08-03;Klocko-Marquardt;Oriente;2;9055,26
2022-10-14;Hegmann Inc;Oriente;3;9691,94
2023-10-11;Russel-Thiel;Oriente;2;9809,24
2023-08-04;Roob and Sons;Beach Flash;2;5290,99
2023-09-12;Hodkiewicz, Kerluke and Nicolas;Beach Flash;4;5760,41
2023-09-12;Hodkiewicz, Kerluke and Nicolas;Beach Flash;2;5760,41
2021-09-03;Yost and Sons;Incomparaveis;9;5632,77
2023-02-13;Nikolaus, Williamson and Gibson;Incomparaveis;9;8099,68
2023-08-13;Stokes, Auer and Orn;Casual Day;2;6145,88
2023-10-11;Russel-Thiel;Casual Day;2;9809,24
2023-07-27;Thompson, Lowe and Cruickshank;Casual Day;4;7160,96
2021-10-06;King, Abshire and Senger;Psyco Universe;3;8467,99
2021-11-23;Robel, Gusikowski and Kirlin;Psyco Universe;6;7495,44
2021-12-16;Torp, Durgan and Kutch;Psyco Universe;3;5407,05
2023-07-02;Smitham-Lueilwitz;Psyco Classic;2;3589,32
2023-04-08;Dooley LLC;Psyco Classic;4;5939,83
2023-08-15;DuBuque-Cormier;Psyco Classic;2;4391,43
2021-08-03;Rempel LLC;Marine Slim;3;11157,42
2021-05-15;Effertz, Mosciski and Kshlerin;Marine Slim;3;4207,52
2021-11-27;Cole-Botsford;Psyco Crew;3;6858,72
2023-10-14;Koss-Rowe;Psyco Crew;4;9837,34
2023-09-28;Yost and Sons;Psyco Crew;2;8848,74
2021-06-19;Feest, Littel and Leffler;Cammelina;3;5024,25
